schools,districts,countys,sat_pct_pass_gr12,act_pct_pass_gr12,pct_poverty,pct_asian,pct_black,pct_hispanic,pct_white,pct_mixed,pct_other_race,act_tst_tkrs_gr12,enroll_gr12,sat_tst_tkrs_gr12,school_score_class,school_pov_class
Reedley Middle College High,Kings Canyon Joint Unified,Fresno,27.0,16.0,73.6,0.4405286343612335,0.0,83.70044052863436,12.77533039647577,2.2026431718061676,0.881057268722467,31.0,34.0,22.0,fair,medium
Reedley High,Kings Canyon Joint Unified,Fresno,35.0,26.0,78.5,1.0063559322033897,0.26483050847457623,85.48728813559322,10.752118644067798,1.059322033898305,1.430084745762712,105.0,348.0,100.0,fair,high
Parlier High,Parlier Unified,Fresno,22.0,24.0,95.8,0.726895119418484,0.0,98.4423676012461,0.4153686396677051,0.0,0.4153686396677051,33.0,201.0,51.0,poor,high
Sanger High,Sanger Unified,Fresno,34.0,43.0,69.8,11.567965633629948,1.2580546179809757,73.39674746854864,11.015648972077324,1.4421601718318502,1.3194231359312671,61.0,734.0,320.0,fair,medium
Firebaugh High,Firebaugh-Las Deltas Unified,Fresno,6.0,10.0,89.9,0.1545595054095827,0.3091190108191654,96.29057187017001,3.2457496136012365,0.0,0.0,31.0,167.0,84.0,poor,high
Central High East Campus,Central Unified,Fresno,25.0,54.0,65.3,14.793038570084665,9.078080903104421,58.01975540921919,14.675446848541862,1.5522107243650047,1.881467544684854,37.0,913.0,379.0,poor,medium
Kerman High,Kerman Unified,Fresno,36.0,47.0,76.7,5.590452261306533,0.8793969849246231,84.79899497487438,7.788944723618091,0.5025125628140703,0.4396984924623116,38.0,382.0,102.0,fair,high
Mendota High,Mendota Unified,Fresno,13.0,9.0,97.4,0.0,0.11467889908256881,97.36238532110092,1.7201834862385321,0.0,0.8027522935779817,82.0,223.0,69.0,poor,high
Riverdale High,Riverdale Joint Unified,Fresno,22.0,14.000000000000002,79.3,0.5434782608695652,0.36231884057971014,85.14492753623189,12.862318840579709,0.18115942028985507,0.9057971014492754,50.0,124.0,41.0,poor,high
Orland High,Orland Joint Unified,Glenn,44.0,46.0,63.6,2.7624309392265194,0.4143646408839779,59.94475138121547,34.806629834254146,0.8287292817679558,1.2430939226519337,37.0,166.0,32.0,fair,medium
Arcata High,Northern Humboldt Union High,Humboldt,69.0,90.0,36.0,1.940755873340143,0.9193054136874361,14.708886618998978,69.56077630234934,8.069458631256383,4.800817160367722,40.0,210.0,58.0,good,low
